지점,지점명,일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),평균지면온도(°C)
135,추풍령,Jul-23,24.6,85,390.3,1.5,7.2,27.9
135,추풍령,Aug-23,25.6,81,288,1.9,6.3,29.5
135,추풍령,Sep-23,21.3,82,199.8,1.7,6,24.4
135,추풍령,Oct-23,13.5,70,12.2,1.9,3.9,15.8
135,추풍령,Nov-23,6.5,63,36.6,3.2,3.8,7.8
135,추풍령,Dec-23,1,69,117.1,2.8,4.2,1.5
135,추풍령,Jan-24,-0.2,65,42.5,3.3,4,0.4
135,추풍령,Feb-24,2.9,73,100,2.5,6.4,3.5
135,추풍령,Mar-24,6.3,57,65.6,3.2,4.4,8.2
135,추풍령,Apr-24,14.7,63,49.3,2.3,5.4,16.9
135,추풍령,May-24,17,65,78.5,2.4,4.1,20.8
135,추풍령,Jun-24,22.2,66,95.4,2,5.1,25.9
135,추풍령,Jul-24,25.3,83,443.6,1.9,6.6,28
135,추풍령,Aug-24,26.8,78,20.6,1.8,4.3,31.1
135,추풍령,Sep-24,23.5,80,221.3,1.7,5.8,26.9
135,추풍령,Oct-24,14.4,81,74.9,1.9,5.8,16.3
135,추풍령,Nov-24,8.4,71,31.2,2.4,4.5,9.2
135,추풍령,Dec-24,1,59,8.6,3.6,4.4,1.3
135,추풍령,Jan-25,-1.3,62,19.8,2.9,4.3,-0.8
135,추풍령,Feb-25,-1.5,55,14.9,3.9,3.4,-0.2
135,추풍령,Mar-25,7,56,45.5,3.2,5,7
135,추풍령,Apr-25,12.9,54,45.6,2.8,3.9,16.4
135,추풍령,May-25,16,69,116.2,2.3,5.2,19.2
135,추풍령,Jun-25,22.3,72,252.9,1.9,5.7,25.7
135,추풍령,Jul-25,25.8,77,143.5,1.8,4.5,31
135,추풍령,Aug-25,26.2,79,109.7,1.3,5.2,31.6
135,추풍령,Sep-25,21.6,83,169.5,1.5,7.5,24.3
135,추풍령,Oct-25,15.2,83,185.7,1.6,6.8,17.4
135,추풍령,Nov-25,7.3,64,19.8,2.3,2.9,7.5
135,추풍령,Dec-25,1,61,15.3,2.7,4,1.1
135,추풍령,Jan-26,-2.6,50,2.7,4.1,3.3,-1.5
135,추풍령,Feb-26,1.5,55,9.4,2.9,3.9,2
135,추풍령,Mar-26,6.9,56,66.8,2.4,4.4,7.8
135,추풍령,Apr-26,13.3,55,67.3,2.4,5.4,15
135,추풍령,May-26,,,19.6,,,
136,안동,May-22,18.7,50,7.3,1.9,3.8,25.8
136,안동,Jun-22,22.9,67,48.3,1.8,6,28.4
136,안동,Jul-22,26.4,75,158.8,1.6,7,30.4
136,안동,Aug-22,25.1,80,202.8,1.2,7.3,28.1
136,안동,Sep-22,20.5,74,29.9,1.3,6.4,24.6
136,안동,Oct-22,13.1,74,50.8,1.3,5.5,16.4
136,안동,Nov-22,8.3,67,35.6,1.2,4.4,9.4
136,안동,Dec-22,-2.9,59,3.8,1.8,3.6,-2.2
136,안동,Jan-23,-1.9,58,22.9,1.7,3.3,-1.7
136,안동,Feb-23,2.1,54,3.3,1.5,4.4,3.1
136,안동,Mar-23,9.7,49,28.6,1.6,3.6,12.5
136,안동,Apr-23,12.9,58,46.6,1.9,4.6,16.2
136,안동,May-23,18.3,64,131.8,1.4,5.7,23.2
136,안동,Jun-23,22.7,73,247.7,1.5,6.2,28
136,안동,Jul-23,25.5,85,418.3,1.1,7.1,28.6
136,안동,Aug-23,26.9,80,296.5,1.4,6.4,32.1
136,안동,Sep-23,22.3,83,206.4,1.1,6.4,26
136,안동,Oct-23,13.6,77,8.5,1,4.9,16.8
136,안동,Nov-23,6.6,65,32.1,1.8,3.3,7.6
136,안동,Dec-23,0.9,67,76,1.6,4.1,1.1
136,안동,Jan-24,-0.2,65,13.4,1.7,3.7,0.4
136,안동,Feb-24,3.2,75,62.3,1.3,6.3,4.8
136,안동,Mar-24,6.6,61,55.7,1.8,4.8,8.5
136,안동,Apr-24,15.2,64,59.1,1.4,5.4,18.5
136,안동,May-24,17.8,65,107.8,1.6,4,23.5
136,안동,Jun-24,23.3,68,86,1.3,5.2,29.5
136,안동,Jul-24,26.5,83,386.1,1.4,7.1,31.1
136,안동,Aug-24,28.1,77,58.6,1.4,4.5,35.6
136,안동,Sep-24,24.5,80,154.1,1.3,6,28.9
136,안동,Oct-24,15.4,83,62.5,1,6.5,18
136,안동,Nov-24,8.9,77,23.3,1.3,4.9,9.7
136,안동,Dec-24,0.7,55,1.7,1.9,3.2,-0.1
136,안동,Jan-25,-1.2,58,4.8,1.7,3.3,-1.5
136,안동,Feb-25,-1.2,48,2.3,2.4,1.9,0.8
136,안동,Mar-25,7.4,55,32.8,1.9,4.8,9.4
136,안동,Apr-25,13.6,54,45.5,1.9,3.7,17.8
136,안동,May-25,17.1,66,106.6,1.6,5.3,21.3
136,안동,Jun-25,23.7,69,148.6,1.4,5.9,29
136,안동,Jul-25,27.2,74,151.6,1.4,4.6,34.4
136,안동,Aug-25,27.7,76,66.5,1.3,5.5,34.1
136,안동,Sep-25,22.6,82,146.3,1.2,7.5,25.2
136,안동,Oct-25,16,83,161.6,1,7.4,17.9
136,안동,Nov-25,7.1,67,8.8,1.2,2.8,7.8
136,안동,Dec-25,0.8,60,11.8,1.5,3.8,0
136,안동,Jan-26,-2.6,44,1.4,2.2,2.4,-3.3
136,안동,Feb-26,2,50,5.4,1.9,3.6,2.4
136,안동,Mar-26,7.5,57,47.9,1.5,4.4,10
136,안동,Apr-26,13.9,55,63.4,1.7,5.2,18
136,안동,May-26,,,9.2,,,
137,상주,May-22,19.5,49,2.8,1.5,3.7,26.1
137,상주,Jun-22,23.4,72,88.9,1.1,5.6,28.4
137,상주,Jul-22,26.6,80,211.7,0.9,6.6,30.5
137,상주,Aug-22,25.4,84,220.3,0.9,7,28.5
137,상주,Sep-22,20.8,78,109.2,0.9,6.5,25.8
137,상주,Oct-22,13.8,73,62,1,5.2,17.6
137,상주,Nov-22,8.9,65,29.8,1.1,4.1,10.6
137,상주,Dec-22,-1.6,57,12.1,2,4,0.5
137,상주,Jan-23,-1.1,57,26.5,1.9,3.1,0.3
137,상주,Feb-23,2.8,54,6.8,1.6,4.2,3.8
137,상주,Mar-23,10.3,46,31.7,1.5,3.8,11.6
137,상주,Apr-23,13.5,58,45.6,1.4,4.8,16.9
137,상주,May-23,18.8,66,148.2,1,5.6,24.8
137,상주,Jun-23,23.5,71,174.8,1.1,5.9,29.6
137,상주,Jul-23,25.8,87,517.5,0.7,6.9,29.3
137,상주,Aug-23,26.9,83,333.2,0.8,6.3,32
137,상주,Sep-23,22.5,85,225.1,0.7,6.1,26.3
137,상주,Oct-23,14.6,71,5.2,1,4,17.6
137,상주,Nov-23,7.3,62,35.9,1.7,3.3,8
137,상주,Dec-23,1.6,67,120.1,1.6,4,2.5
137,상주,Jan-24,0.5,64,29.2,1.9,3.3,0.9
137,상주,Feb-24,3.7,74,93.1,1.3,6.2,4.5
137,상주,Mar-24,7.3,58,72.3,1.9,4.3,8.6
137,상주,Apr-24,15.9,63,73.2,1.1,5.3,17.8
137,상주,May-24,18.5,64,96.1,1.2,4.1,23.1
137,상주,Jun-24,23.9,65,116.2,1.1,4.9,28.8
137,상주,Jul-24,26.5,84,534.6,1,6.6,28.5
137,상주,Aug-24,28.2,79,61.7,0.8,4.2,32.6
137,상주,Sep-24,24.7,81,261.9,0.6,5.8,27.7
137,상주,Oct-24,15.2,83,95.2,0.7,6.2,17.5
137,상주,Nov-24,9.1,72,33.7,1.2,4.3,9.1
137,상주,Dec-24,1.9,55,2.7,2.1,3.5,1.4
137,상주,Jan-25,-0.2,58,13.5,1.8,3.9,-0.3
137,상주,Feb-25,-0.5,51,9.1,2.4,2.3,0.4
137,상주,Mar-25,8.2,55,38.7,1.9,5,8.4
137,상주,Apr-25,14.1,55,65.6,1.6,4,16
137,상주,May-25,17.3,70,105.5,1,5.2,21.1
137,상주,Jun-25,23.9,71,237,1,5.8,29.2
137,상주,Jul-25,27.3,77,165.5,0.8,4.5,32.8
137,상주,Aug-25,27.9,78,77.4,0.9,5,30.9
137,상주,Sep-25,22.8,84,176.2,0.7,7.5,24.9
137,상주,Oct-25,16.1,85,216.6,0.7,7,18
137,상주,Nov-25,8.1,65,18.7,1.2,2.6,8.1
137,상주,Dec-25,1.6,60,13.9,1.6,3.7,2
137,상주,Jan-26,-1.7,47,2.3,2.5,2.5,-1.5
137,상주,Feb-26,2.6,53,7.9,1.9,3.5,3
137,상주,Mar-26,8.1,56,72.4,1.4,4.1,9.6
137,상주,Apr-26,14.3,55,66.9,1.3,5.3,17.4
137,상주,May-26,,,13.4,,,
138,포항,May-22,20.4,52,0.1,2.8,4.1,27
138,포항,Jun-22,23.7,73,106.3,3,5.8,28.2
138,포항,Jul-22,26.1,82,77.7,2.3,7.3,30.3
138,포항,Aug-22,26.9,76,141.2,2.3,7.1,29.8
138,포항,Sep-22,21.9,78,512,2.8,7,24.2
138,포항,Oct-22,16.4,66,25.8,2.4,5.5,18.6
138,포항,Nov-22,12.9,57,84.3,2.3,3.7,12.8
138,포항,Dec-22,1.9,46,6.5,3,3.1,2.1
138,포항,Jan-23,2.7,45,11.4,2.8,3,2.6
138,포항,Feb-23,5.6,52,35,2.7,4.8,5.8
138,포항,Mar-23,12.1,51,50.2,2.8,4.1,14
138,포항,Apr-23,15,56,33.6,3.1,4.3,17.6
138,포항,May-23,19,63,137.7,2.9,5.9,22.2
138,포항,Jun-23,23.2,70,101.5,2.6,6.1,28.2
138,포항,Jul-23,26.6,76,204.3,2.4,6.6,29.1
138,포항,Aug-23,27,77,272.5,2.8,6.3,30.2
138,포항,Sep-23,23.8,76,142.1,2.6,6.7,25.9
138,포항,Oct-23,17.3,58,4.4,2.5,3.7,18.7
138,포항,Nov-23,10.9,49,13.1,2.9,2.6,10.1
138,포항,Dec-23,5,53,106.4,2.9,3.8,3.7
138,포항,Jan-24,3.8,52,27.4,3,3.5,2.5
138,포항,Feb-24,6.3,69,113.9,3.3,6.4,5.6
138,포항,Mar-24,8.7,55,84.5,3.2,4.5,9.3
138,포항,Apr-24,15.8,65,65,3,5.6,17.5
138,포항,May-24,19.1,59,62.9,3,4.2,23.3
138,포항,Jun-24,23.7,65,97.7,2.5,5.9,28.5
138,포항,Jul-24,27.6,73,270.6,2.7,6.7,29.4
138,포항,Aug-24,28.3,75,18.9,2.6,4.6,33.7
138,포항,Sep-24,25.1,78,151,2.7,6.6,27.6
138,포항,Oct-24,18.5,71,132.9,2.8,6.2,18.6
138,포항,Nov-24,12.3,64,64,2.5,4.5,11.2
138,포항,Dec-24,4.6,42,0.6,2.9,2.7,2.9
138,포항,Jan-25,2.9,46,14.9,3,2.5,1.9
138,포항,Feb-25,2.4,38,8.8,3.2,2,2.8
138,포항,Mar-25,9.8,54,44.8,3.4,5.2,10.7
138,포항,Apr-25,14.8,54,28.4,3,4,18.1
138,포항,May-25,18,65,89.7,2.9,5.2,21.1
138,포항,Jun-25,24.6,64,149.5,2.5,5.7,27.6
138,포항,Jul-25,27.9,71,262.8,2.6,4.6,31.8
138,포항,Aug-25,28.7,71,93.3,2.3,4.9,31.5
138,포항,Sep-25,24.2,75,100.8,2.4,7.3,25.8
138,포항,Oct-25,17.9,78,190.6,2.3,7.5,18.4
138,포항,Nov-25,11.5,50,8.7,2.5,2.6,10.4
138,포항,Dec-25,5.4,48,20.6,2.6,3.2,4
138,포항,Jan-26,1.4,35,0,3,2.1,0.5
138,포항,Feb-26,6.1,43,23.7,3.1,4,5.7
138,포항,Mar-26,9.5,60,75.3,2.9,4.9,9.6
138,포항,Apr-26,15.2,60,58.5,2.7,5.7,17.3
138,포항,May-26,,,27.6,,,
140,군산,May-22,17.4,64,4.9,2.6,3.8,22.3
140,군산,Jun-22,22.8,79,94.9,2.7,5.9,26.3
140,군산,Jul-22,26.4,83,152.2,2.4,6,28.2
140,군산,Aug-22,25.7,85,340.9,2.5,7.1,26.6
140,군산,Sep-22,22,76,80.6,2,6.3,23.8
140,군산,Oct-22,14.3,73,73.8,2.2,4.6,15.5
140,군산,Nov-22,10.4,69,75.4,1.9,4.5,10.3
140,군산,Dec-22,-0.8,69,47.4,2,5.5,1.1
140,군산,Jan-23,-0.1,67,27,2.4,3.7,0.5
140,군산,Feb-23,1.9,66,4.9,1.9,4,2.8
140,군산,Mar-23,8.3,61,19.6,2.3,3.8,9.9
140,군산,Apr-23,12.9,66,66.1,2.5,4.9,15.2
140,군산,May-23,18.2,72,336,2.2,5.7,21
140,군산,Jun-23,22.2,78,179.1,2.5,5.7,26.7
140,군산,Jul-23,25.8,86,870.3,2.2,7,27.6
140,군산,Aug-23,26.9,82,178.8,1.9,5.7,30.6
140,군산,Sep-23,23.2,81,199.3,1.7,6,26.1
140,군산,Oct-23,15.7,74,20.5,1.9,4.1,18.8
140,군산,Nov-23,8.6,72,80.2,2.8,4.7,9.9
140,군산,Dec-23,3.2,78,139,2.1,5.7,4.6
140,군산,Jan-24,1.2,74,57.4,2.1,4.6,2.5
140,군산,Feb-24,4.4,79,138.9,2,6.1,5.1
140,군산,Mar-24,6.7,72,54.7,2.8,4.3,8.1
140,군산,Apr-24,14.2,76,53.4,1.8,5.4,15.9
140,군산,May-24,17.2,76,108.3,2.5,4.1,20.7
140,군산,Jun-24,22.5,77,73.7,2.4,5.1,29
140,군산,Jul-24,26.8,85,606.5,2.6,6.6,28.2
140,군산,Aug-24,28.6,81,19,2,4.1,33.5
140,군산,Sep-24,25.9,78,188.6,1.7,4.9,29.7
140,군산,Oct-24,16.7,81,111.6,1.6,5.3,18.3
140,군산,Nov-24,10.3,70,48.1,2.4,4.4,11.1
140,군산,Dec-24,2.5,70,17.3,2.2,5.6,3.5
140,군산,Jan-25,0.3,73,35.1,2.3,4.5,1.9
140,군산,Feb-25,-0.3,68,17.9,3,4.3,2.2
140,군산,Mar-25,7.4,66,41.7,3.2,4.7,10.2
140,군산,Apr-25,12.4,69,62.1,2.8,3.6,15.7
140,군산,May-25,16.9,74,81.1,2.5,4.9,19.1
140,군산,Jun-25,22.6,77,303,2.4,5.7,26.7
140,군산,Jul-25,27.7,77,169.8,2.1,4.5,32.5
140,군산,Aug-25,27.4,82,152.9,2.2,5.2,30.7
140,군산,Sep-25,23.5,83,556.2,1.8,6.9,25.4
140,군산,Oct-25,17.4,83,109.9,1.8,5.8,19.8
140,군산,Nov-25,9.4,74,16.8,2.3,3.5,10.3
140,군산,Dec-25,3.1,73,36.8,2.5,4.6,3.7
140,군산,Jan-26,-1.4,67,1.1,2.8,4.3,0.5
140,군산,Feb-26,2,70,20.2,,3.9,4.3
140,군산,Mar-26,6.5,70,73.5,2.3,4,8.6
140,군산,Apr-26,12.8,66,74.1,2.5,5.5,15.5
140,군산,May-26,,,17,,,
143,대구,May-22,20.7,50,4.2,2.5,3.8,27
143,대구,Jun-22,24.3,71,81.8,2.4,5.9,29.1
143,대구,Jul-22,27.5,77,88.8,2.3,6.8,31.2
143,대구,Aug-22,26.9,81,143.3,1.7,7.3,30.3
143,대구,Sep-22,21.9,80,114.2,2.3,6.2,26
143,대구,Oct-22,15.5,72,25.6,2.1,4.3,19.6
143,대구,Nov-22,11,65,46.6,1.7,3.4,12.9
143,대구,Dec-22,0.4,63,3.6,2.4,3.6,1.8
143,대구,Jan-23,0.9,61,11.5,2.4,3.2,1.6
143,대구,Feb-23,4.4,51,11.2,2.2,4.3,4.7
143,대구,Mar-23,11.8,46,27.3,2.1,3.7,13.3
143,대구,Apr-23,14.8,55,30.8,2.6,4.3,18.3
143,대구,May-23,19.3,63,200,2.1,5.6,23.5
143,대구,Jun-23,24,66,178.7,2.2,6.4,29.2
143,대구,Jul-23,26.7,78,298.7,1.6,7,30.3
143,대구,Aug-23,27.5,76,312.8,2.1,6,31.6
143,대구,Sep-23,23.5,77,123.6,1.9,6.3,26.3
143,대구,Oct-23,15.9,66,5.7,1.7,3.6,17.8
143,대구,Nov-23,9.2,57,31.6,2.6,3,8.8
143,대구,Dec-23,3.5,62,89.9,2.3,3.7,2.5
143,대구,Jan-24,2.3,58,21.4,2.5,3.5,1.5
143,대구,Feb-24,5.4,71,56.8,2.3,6.1,5.5
143,대구,Mar-24,8.5,55,70.9,2.6,4.5,9.7
143,대구,Apr-24,16.3,62,60.6,2.2,5.9,18.9
143,대구,May-24,19.4,57,59.8,2.4,4.2,24.4
143,대구,Jun-24,24.6,61,98.3,1.9,5.9,30.2
143,대구,Jul-24,27.8,75,372.2,2,6.9,30.8
143,대구,Aug-24,29.1,70,118.3,2.3,4.7,34
143,대구,Sep-24,25.4,75,151.5,1.9,5.9,28.3
143,대구,Oct-24,17,76,94.9,1.7,5.9,18.6
143,대구,Nov-24,10.7,69,50.4,1.9,4.2,10.6
143,대구,Dec-24,3.5,50,1.3,2.8,3.1,2.1
143,대구,Jan-25,1.4,53,4.3,2.5,3,0.7
143,대구,Feb-25,1.2,46,12.7,3.3,2.5,1.8
143,대구,Mar-25,9.6,51,25.4,2.7,4.8,10.8
143,대구,Apr-25,14.9,52,41.8,2.5,4,18.3
143,대구,May-25,18.1,64,103.6,2.1,5.4,21.4
143,대구,Jun-25,24.8,63,163.7,1.8,5.6,28.9
143,대구,Jul-25,28,69,248,1.9,4.5,34.3
143,대구,Aug-25,28.8,70,158,1.4,5.3,33.6
143,대구,Sep-25,23.9,76,150.8,1.8,7.2,25.7
143,대구,Oct-25,17.4,77,99.6,1.8,6.6,18.9
143,대구,Nov-25,9.6,60,12.3,2,2.6,9.4
143,대구,Dec-25,3.5,54,8.8,2.4,3.6,2.7
143,대구,Jan-26,0.3,39,0,3.1,2.3,-0.1
143,대구,Feb-26,4.3,47,18.2,2.4,3.8,4.1
143,대구,Mar-26,9.3,55,53.5,2.2,4.2,10.1
143,대구,Apr-26,15.3,55,68.3,2.3,5.4,17.4
143,대구,May-26,,,12.7,,,
146,전주,May-22,18.7,56,6.8,1.7,3.6,22.9
146,전주,Jun-22,23.7,73,164.2,1.6,6.6,27.7
146,전주,Jul-22,27,78,184,1.6,6.9,29.9
146,전주,Aug-22,26.3,79,311.3,1.5,7.5,28.5
146,전주,Sep-22,22.6,70,64.5,1.5,6,25
146,전주,Oct-22,15.2,67,51.1,1.4,4.2,17.1
146,전주,Nov-22,11.1,63,77,1.5,4.3,11.5
146,전주,Dec-22,-0.2,67,30,1.6,5,2.4
146,전주,Jan-23,0.8,64,26.8,1.8,3.7,2.1
146,전주,Feb-23,3,62,9.6,1.5,4.7,4.2
146,전주,Mar-23,10.2,51,27,1.7,3.8,11.2
146,전주,Apr-23,14.2,60,45,1.8,5.1,16.1
146,전주,May-23,19.4,65,240.7,1.6,5.9,22.7
146,전주,Jun-23,23.3,70,169.9,1.6,6.2,28.4
146,전주,Jul-23,26.5,81,735,1.4,7.5,29
146,전주,Aug-23,27.5,77,274.8,1.4,6,30
146,전주,Sep-23,23.7,78,203.4,1.2,6.5,26.4
146,전주,Oct-23,16.1,69,18.2,1.4,4,17.9
146,전주,Nov-23,9,68,92.2,1.9,4.8,10.4
146,전주,Dec-23,4.1,73,144,1.6,5.7,4.2
146,전주,Jan-24,2.2,70,54.6,1.6,5.1,1.9
146,전주,Feb-24,5.6,75,113.4,1.6,6.4,5.8
146,전주,Mar-24,7.9,64,79.6,2,4.8,8.4
146,전주,Apr-24,16.2,69,53.4,1.4,5.8,16.6
146,전주,May-24,18.8,66,113.7,1.7,4.1,21
146,전주,Jun-24,23.8,66,101.9,1.6,5.5,28.3
146,전주,Jul-24,27.4,78,398.3,1.8,7.2,28.1
146,전주,Aug-24,29.1,77,129.1,1.4,4.3,30.9
146,전주,Sep-24,26.6,75,185,1.2,5.1,28
146,전주,Oct-24,17.4,78,80.2,1.2,5.4,18.6
146,전주,Nov-24,11,68,34.4,1.6,4.5,10.1
146,전주,Dec-24,3,69,14.3,1.5,5.2,2.6
146,전주,Jan-25,1.2,70,37,1.6,4.4,1.1
146,전주,Feb-25,0.5,63,23.5,1.9,3.7,1.7
146,전주,Mar-25,9.1,59,35.1,2.1,4.8,8.2
146,전주,Apr-25,14.2,59,67.1,2,4,14.4
146,전주,May-25,18.3,68,121.8,1.7,5.3,19.3
146,전주,Jun-25,24.1,70,320.6,1.8,5.9,26.3
146,전주,Jul-25,28.5,71,198.7,2,4.9,31.5
146,전주,Aug-25,28.3,76,181,1.8,5.5,30.3
146,전주,Sep-25,24.3,79,465,1.8,6.8,25.3
146,전주,Oct-25,18,78,112.5,1.6,5.9,18.8
146,전주,Nov-25,9.7,68,27.6,2.1,3.5,9.1
146,전주,Dec-25,3.6,65,29.5,2.2,4.5,3.3
146,전주,Jan-26,-1,60,1.5,2.4,3.8,-0.4
146,전주,Feb-26,3.2,63,11.6,2.1,3.8,3.1
146,전주,Mar-26,8,63,66.6,2.1,4.2,8.5
146,전주,Apr-26,14.5,60,73.9,2.1,5.8,15.9
146,전주,May-26,,,17.3,,,
152,울산,May-22,19.2,54,6.1,1.8,3.9,23.3
152,울산,Jun-22,22.4,78,147.1,2.2,5.8,24.7
152,울산,Jul-22,26,83,125,1.5,6.5,28.5
152,울산,Aug-22,26.4,79,138.5,2,6.8,27.7
152,울산,Sep-22,21.7,79,284.8,2.1,6.8,22.3
152,울산,Oct-22,16,67,30.4,2,4.8,16.8
152,울산,Nov-22,12.7,58,44.9,1.9,3.5,11.8
152,울산,Dec-22,2,44,9.7,2.5,3,1.1
152,울산,Jan-23,2.6,45,41.3,2.5,2.7,1.1
152,울산,Feb-23,5.2,53,28,2.4,4.7,4.4
152,울산,Mar-23,11.4,54,68.3,2.3,4.1,11.9
152,울산,Apr-23,14.1,60,57.7,2.6,4.2,15.5
152,울산,May-23,17.8,69,195.2,2.1,6,20.1
152,울산,Jun-23,22.3,74,141.4,1.8,6.3,26.3
152,울산,Jul-23,25.8,80,266.9,1.8,6.6,28.1
152,울산,Aug-23,26.5,80,403.3,2.1,5.8,29.7
152,울산,Sep-23,22.9,80,276.7,1.9,6.6,24.9
152,울산,Oct-23,16.4,62,4.3,1.9,3.5,18.8
152,울산,Nov-23,10.4,53,33.1,2.3,2.6,10.5
152,울산,Dec-23,4.9,56,126.7,2.5,3.6,3.7
152,울산,Jan-24,3.4,55,42.3,2.5,3.3,2.6
152,울산,Feb-24,6,71,105.4,2.6,6.3,5.9
152,울산,Mar-24,8.6,56,80.2,2.7,4.4,9.5
152,울산,Apr-24,14.9,69,99.1,1.9,5.8,16.5
152,울산,May-24,17.9,64,69.3,2.2,4.2,21.9
152,울산,Jun-24,22.6,71,124.6,1.5,6.1,27.5
152,울산,Jul-24,26.9,78,209.2,2.3,6.3,29.5
152,울산,Aug-24,28,76,89.1,2.1,4.1,33.7
152,울산,Sep-24,24.7,80,237,1.9,5.8,27.5
152,울산,Oct-24,17.8,76,174.3,2.1,6.5,18.1
152,울산,Nov-24,11.8,65,67.5,2.1,4.3,10.4
152,울산,Dec-24,4.1,45,0,2.5,2.6,1.6
152,울산,Jan-25,2.5,47,6.4,2.4,2.5,2.8
152,울산,Feb-25,1.9,39,16.1,2.7,2.4,3.6
152,울산,Mar-25,9.2,57,71.7,2.6,5,10.6
152,울산,Apr-25,13.9,58,56.1,2.3,4,17.1
152,울산,May-25,17,69,107.1,2.2,5.1,19.7
152,울산,Jun-25,23.2,69,163.1,1.7,5.6,26.7
152,울산,Jul-25,27,73,285.1,1.8,4.2,31.3
152,울산,Aug-25,27.9,74,199,1.6,4.8,31.7
152,울산,Sep-25,23.8,78,49.2,2,7,26.5
152,울산,Oct-25,17.4,80,173.2,1.9,7.1,18.7
152,울산,Nov-25,10.9,55,18.1,2,2.4,9.7
152,울산,Dec-25,5.1,50,16.9,2.4,3.2,4.2
152,울산,Jan-26,1.5,35,0,2.8,2.1,1.3
152,울산,Feb-26,5.7,43,28.3,2.7,3.8,5.8
152,울산,Mar-26,8.9,63,74.4,2.2,4.7,9.6
152,울산,Apr-26,14.8,62,80.8,2.2,5.9,16.8
152,울산,May-26,,,26.6,,,
155,창원,May-22,19.1,53,2.4,1.5,4.1,23.1
155,창원,Jun-22,22.1,75,194,1.8,6.5,24.7
155,창원,Jul-22,26.7,76,167.9,1.4,6.4,29.4
155,창원,Aug-22,26.4,78,224.6,1.2,7.2,28.7
155,창원,Sep-22,22.5,69,156,1.5,6.3,23.7
155,창원,Oct-22,16.5,60,9.8,1.4,3.6,17.3
155,창원,Nov-22,12.5,55,46,1.3,3.3,11.4
155,창원,Dec-22,1.6,44,12.1,1.6,3.1,1.2
155,창원,Jan-23,2,48,68.6,1.5,2.7,1.5
155,창원,Feb-23,4.9,50,24,1.5,4.3,4.8
155,창원,Mar-23,10.9,57,57.6,1.4,4,11.9
155,창원,Apr-23,14.1,59,116.3,1.6,4.6,16.2
155,창원,May-23,18,70,299.4,1.4,5.8,20.3
155,창원,Jun-23,22.5,75,209.1,1.4,6.2,26
155,창원,Jul-23,25.7,83,471.7,1.3,7.3,28.1
155,창원,Aug-23,27.7,76,506.8,1.5,5.5,31
155,창원,Sep-23,24.1,76,268.7,1.1,6,26.6
155,창원,Oct-23,17,60,4,1.2,3.5,18.9
155,창원,Nov-23,10.3,55,51.2,1.5,2.7,10.1
155,창원,Dec-23,4.7,57,83.7,1.3,3.7,3.8
155,창원,Jan-24,3.3,54,34.1,1.4,3.1,2.8
155,창원,Feb-24,6,66,160.2,1.5,6,6.5
155,창원,Mar-24,8.8,57,117.2,1.8,4.5,10.2
155,창원,Apr-24,15.7,69,149.7,1.5,5.9,17.1
155,창원,May-24,19,64,169.1,1.9,4.3,23.6
155,창원,Jun-24,23.1,73,177.7,1.6,6.2,28.1
155,창원,Jul-24,26.9,85,227,2,7.2,29
155,창원,Aug-24,29,77,133.4,1.8,3.9,33
155,창원,Sep-24,26.5,76,541,1.7,4.9,30.7
155,창원,Oct-24,18.8,74,200.4,1.7,5.9,20.7
155,창원,Nov-24,12.4,65,107,1.6,3.9,13.3
155,창원,Dec-24,4.9,48,0,1.8,2.7,4.7
155,창원,Jan-25,2.9,51,4.8,1.7,2.3,3.2
155,창원,Feb-25,2.3,44,24.8,2,2.7,4
155,창원,Mar-25,9.6,57,39.9,2.1,5,10.8
155,창원,Apr-25,14.4,63,86.8,2.1,4.5,17.3
155,창원,May-25,17.6,73,137.4,1.8,5.5,21.3
155,창원,Jun-25,23.3,75,188.2,1.8,5.9,26.8
155,창원,Jul-25,27.6,76,256.4,1.8,4,31.6
155,창원,Aug-25,28.1,81,160.8,1.5,4.8,33.1
155,창원,Sep-25,24.9,80,135.5,1.5,6.5,27.1
155,창원,Oct-25,18.8,76,110.8,1.4,5.7,20.2
155,창원,Nov-25,11.5,60,26.2,1.6,2.2,12.2
155,창원,Dec-25,5.5,53,10.3,1.8,3.1,6.1
155,창원,Jan-26,2.1,39,0.1,2.1,2.1,3.6
155,창원,Feb-26,6,48,32.5,1.9,3.6,7.6
155,창원,Mar-26,9.8,59,61.6,2,4.4,11.6
155,창원,Apr-26,15.6,60,132.2,1.8,6,18
155,창원,May-26,,,24.7,,,
156,광주,May-22,19.3,59,0.4,1.3,3.9,26.5
156,광주,Jun-22,23.8,83,131.7,1.9,6.5,28.6
156,광주,Jul-22,27,88,169,1.5,6.6,29.9
156,광주,Aug-22,26.9,90,106.4,1.8,7.3,30.4
156,광주,Sep-22,23.1,77,89.2,1.5,6.2,27.4
156,광주,Oct-22,16,65,38.3,1.1,4,18.8
156,광주,Nov-22,11.8,62,46.7,1,3.9,11.7
156,광주,Dec-22,1.1,63,30.6,1.2,5,2.1
156,광주,Jan-23,1.7,62,26.8,1.2,4.3,2.3
156,광주,Feb-23,4.2,55,14.8,1.1,4.4,5.3
156,광주,Mar-23,11.2,47,34.8,1.2,3.9,13.6
